Sl. No,Company Name,No. of Offers
1,DXC Technology India Pvt Ltd,57
2,Accenture,42
3,Mindtree Limited,35
4,Cognizant,25
5,Larsen & Turbo Infotech Ltd.,18
6,"Legato Health Technologies, LLP",12
7,Infosys Limited,12
8,Tata Consultancy Services (TCS),10
9,Amazon,10
10,LTTS,7
11,Mercedes Benz Research & Development India Pvt Ltd,5
12,PWC,6
13,Comviva,4
14,Veripure Lab,4
15,BlueOptima Limited,3
16,Ellucian Higher Education Systems,3
17,Paytm,3
18,Climber Knowledge,3
19,BETSOL,2
20,Zwayam,2
21,Hexaware Technologies,2
22,TheMath Company,2
23,Oracle,2
24,Pin Click,2
25,EY,2
26,HCL Technologies,2
27,NTT Data,2
28,FACE,2
29,Surya Software,1
30,Trifacta India,1
31,Informatica,1
32,42Gears Mobility Systems,1
33,Quotient Technology,1
34,"JE International, Japan",1
35,Axis Bank,1
36,Infrrd Pvt ltd,1
37,"Multisoup, Japan",1
38,Sony India Software Centre Pvt. Ltd,1
39,"Hasegawa co, Japan",1
40,Phonepe,1
41,Practo,1
42,TEKsystems Global Services,1
43,Centilytics,1
44,Eurofins,1
45,Cimpress,1
46,Byju's,1
47,Empower Retirement,1
48,Sprinklr,1
49,Mphasis,1
50,Social Panga,1
51,Rakuten,1
52,Alien Brains,1
53,Perfios,1
54,Infogain,1
55,Square Yards,1
56,nslHub,1
57,Hour Glass Research,1
58,Cerner,1
59,Indegene,1
60,Altimetrik,1
61,"Hasegawa Kogyo, Japan",1
