Sl.No,Company Name,No. of Offers
1,Accenture,57
2,FACE,47
3,"Out Sourcing Technology,Japan",36
4,Infosys,30
5,Cognizant,14
6,IQVIA,9
7,Bio Clinica,7
8,Verzeo,7
9,"Human Resocia,Japan",6
10,Pin Click,6
11,KPMG,4
12,TCS,4
13,IBM,4
14,Capegemini,3
15,NTT Data,3
16,Sunrise Biztech Systems,3
17,Eduvirtuoso,3
18,Quad Toolings,3
20,Continental,2
21,EY,2
22,Mahindra Comviva,2
23,NOVA TECHSET,2
24,Oracle Financial Services,2
25,OG Health Care,2
26,RANDSTD INDIA,2
27,Re Solution,2
28,The Math,2
29,Wipro,2
30,India Mart,2
31,RX logix,2
32,Neviton,2
33,Razor Pay,2
34,Bloom Consulting Services,2
35,Byju,3
36,Trip Thrill,2
37,ESDS,1
38,ANAROCK PROPERTYCONSULTANTS,1
39,AMAZON,1
40,Bosch,1
41,Box 8,1
42,CLIMBER,1
43,Clas Klap,1
44,CGI,1
45,HPE,1
46,Karelya,1
47,Keyence,1
48,Kotak Life,1
49,Quest Global,1
50,Speridain,1
51,Sprinklr Solution,1
52,Tata Elxsi,1
53,Value labs,1
54,Oracle Cloud Industry,1
55,Belong Technologies,1
56,Smarterhomes Technologies,1
57,Bell Finvest India Ltd,1
58,Extramarks,1
59,Molecular Connections,1
60,Indegene,1
61,Casting and Alloy Tech,1
62,ICICI,1
63,Vyuhgenics,1
