Sl. No,Company Name,No. of Offers
1,Cognizant,91
2,Prodapt,55
3,Wipro,50
4,Accenture,47
5,Capgemini,37
6,DXC Technology,24
7,Kyndryl,16
8,Koch,18
9,Mindtree,11
10,IBM,10
11,Persistent Systems,7
12,L&T Infotech,6
13,IQVIA,6
14,Mu Sigma,5
15,JP Morgan Chase & Co,4
16,Mercedes Benz,4
17,Accolite Digital,3
18,Surya Software,3
19,EY,3
20,BlueOptima,2
21,Sap Labs,2
22,Ellucian,2
23,Eurofins,2
24,DELL Technologies,2
25,The Math,2
26,Keyance,2
27,Birlasoft,2
28,Amadeus Software,2
29,TEKsystems Global,1
30,Infosys,1
31,Onedirect,1
32,Paytm,1
33,Brillio,1
34,Kaleyra,1
35,Tally Solutions,1
36,HashedIn By Deloitte,1
37,QuEST Global,1
38,KPIT Technologies,1
39,Informatica,1
40,42 Gears,1
