,,308,,332,,434,,430
Sl.No,Company Name,No. of Offers(18-19),Company Name,No. of Offers(19-20),Company Name,No. of Offers(20-21),Company Name,No. of Offers (21-22)
1,Accenture,57,Accenture,105,DXC Technology,57,Cognizant,91
2,FACE,47,Cognizant,38,Accenture,48,Prodapt,55
3,"Out Sourcing Technology,Japan",36,L & T Infotech,12,Mindtree,35,Wipro,50
4,Infosys,30,TCS,15,Cognizant,25,Accenture,47
5,Cognizant,14,NTT Data,9,LTI,18,Capgemini,37
6,IQVIA,9,HUDL,9,Legato Technologies,14,DXC Technology,24
7,Bio Clinica,7,Medi Assist,6,Infosys,12,Kyndryl,16
8,Verzeo,7,Amazon,6,Amazon,10,Koch,18
9,"Human Resocia,Japan",6,OG Health Care,5,TCS,10,Mindtree,11
10,Pin Click,6,Bosch,4,Inmovidu Technologies,9,IBM,10
11,KPMG,4,IndusInd Bank,4,PWC,7,Persistent Systems,7
12,TCS,4,Climber Knowledge,4,LTTS,7,L&T Infotech,6
13,IBM,4,Mu Sigma,4,Alvaria,6,IQVIA,6
14,Capegemini,3,Mecedes Benz,4,Paytm,5,Mu Sigma,5
15,NTT Data,3,PWC,4,Mercedes Benz,5,JP Morgan Chase & Co,4
16,Sunrise Biztech Systems,3,Solas Fire,4,QUALITEST,5,Mercedes Benz,4
17,Eduvirtuoso,3,Wipro,3,Innovatia,5,Accolite Digital,3
18,Quad Toolings,3,CIPLA,3,Ellucian Higher Education Systems,4,Surya Software,3
20,Continental,2,Lowes India,3,Comviva,4,EY,3
21,EY,2,Sapient Technologies,3,Veripure Lab,4,BlueOptima,2
22,Mahindra Comviva,2,Axis Bank,3,Mphasis,4,Sap Labs,2
23,NOVA TECHSET,2,KPMG,3,Bluechip Software,4,Ellucian,2
24,Oracle Financial Services,2,24 X 7,3,Robert Bosch,4,Eurofins,2
25,OG Health Care,2,Chegg India,3,Blue Optima,3,DELL Technologies,2
26,RANDSTD INDIA,2,Continental,2,HCL Technologies,3,The Math,2
27,Re Solution,2,Phonepe,2,Climber Knowledge,3,Keyance,2
28,The Math,2,Hunger Box,2,Infogain,3,Birlasoft,2
29,Wipro,2,SAP,2,Intellipat,3,Amadeus Software,2
30,India Mart,2,Infrrd,2,DevOps Enabler & Co,3,TEKsystems Global,1
