Company Name,No. of Offers (21-22),No. of Offers(20-21),No. of Offers(19-20),No. of Offers(18-19),Total
Accenture,47,48,105,57,257
FACE,0,2,0,47,49
"Out Sourcing Technology,Japan",0,0,0,36,36
Infosys,1,12,1,30,44
Cognizant,91,25,38,14,168
IQVIA,6,2,0,9,17
Bio Clinica,0,0,0,7,7
Verzeo,0,0,0,7,7
"Human Resocia,Japan",0,0,0,6,6
Pin Click,0,2,0,6,8
KPMG,0,0,3,4,7
TCS,0,10,15,4,29
IBM,10,0,1,4,15
Capegemini,0,0,0,3,3
NTT Data,0,2,9,3,14
Sunrise Biztech Systems,0,0,0,3,3
Eduvirtuoso,0,0,0,3,3
Quad Toolings,0,0,0,3,3
Continental,0,0,2,2,4
EY,3,2,0,2,7
Mahindra Comviva,0,0,0,2,2
NOVA TECHSET,0,0,0,2,2
Oracle Financial Services,0,0,0,2,2
OG Health Care,0,0,5,2,7
RANDSTD INDIA,0,0,0,2,2
Re Solution,0,0,0,2,2
The Math,2,2,1,2,7
Wipro,50,1,3,2,56
India Mart,0,0,0,2,2
RX logix,0,0,0,2,2
Neviton,0,0,0,2,2
Razor Pay,0,0,0,2,2
Bloom Consulting Services,0,0,0,2,2
Byju,0,0,0,3,3
Trip Thrill,0,0,0,2,2
ESDS,0,0,0,1,1
ANAROCK PROPERTYCONSULTANTS,0,0,0,1,1
AMAZON,0,10,6,1,17
Bosch,0,0,4,1,5
Box 8,0,0,0,1,1
CLIMBER,0,0,0,1,1
Clas Klap,0,0,0,1,1
CGI,0,0,0,1,1
HPE,0,0,2,1,3
Karelya,0,0,0,1,1
Keyence,0,0,1,1,2
Kotak Life,0,0,0,1,1
Quest Global,1,0,2,1,4
Speridain,0,0,0,1,1
Sprinklr Solution,0,0,0,1,1
Tata Elxsi,0,0,2,1,3
Value labs,0,0,0,1,1
Oracle Cloud Industry,0,0,0,1,1
Belong Technologies,0,0,0,1,1
Smarterhomes Technologies,0,0,0,1,1
Bell Finvest India Ltd,0,0,0,1,1
Extramarks,0,0,0,1,1
Molecular Connections,0,0,0,1,1
Indegene,0,1,0,1,2
Casting and Alloy Tech,0,0,0,1,1
ICICI,0,0,1,1,2
Vyuhgenics,0,0,0,1,1
L & T Infotech,0,0,12,0,12
HUDL,0,0,9,0,9
Medi Assist,0,0,6,0,6
IndusInd Bank,0,0,4,0,4
Climber Knowledge,0,3,4,0,7
Mu Sigma,5,0,4,0,9
Mecedes Benz,0,0,4,0,4
PWC,0,7,4,0,11
Solas Fire,0,0,4,0,4
CIPLA,0,0,3,0,3
Lowes India,0,0,3,0,3
Sapient Technologies,0,0,3,0,3
Axis Bank,0,1,3,0,4
24 X 7,0,0,3,0,3
Chegg India,0,0,3,0,3
Phonepe,0,1,2,0,3
Hunger Box,0,0,2,0,2
SAP,0,0,2,0,2
Infrrd,0,0,2,0,2
42 Gears,1,0,2,0,3
DXC Technology,24,57,2,0,83
Lumos,0,0,2,0,2
RELIGARE HEALTH,0,0,2,0,2
Trelleborg,0,1,2,0,3
Tech Mahindra,0,0,2,0,2
PNB Met Life Insurance,0,0,2,0,2
NEUTRINOS,0,0,2,0,2
Vyuhgenics India Pvt. Ltd,0,0,1,0,1
JARO EDUCATION,0,0,2,0,2
SearchBourne Consuting,0,0,1,0,1
SQUARE YARDS,0,1,1,0,2
PINCLICK,0,0,1,0,1
Blue optima,0,3,1,0,4
Tata AIG,0,0,1,0,1
Daily Hunt,0,0,1,0,1
Hexaware Technologies,0,2,1,0,3
"IBJ ,Japan",0,0,1,0,1
Kaleyra,1,0,1,0,2
One Direct,0,0,1,0,1
"Synapse,Japan",0,0,1,0,1
Speridian,0,0,1,0,1
Sprinklr,0,1,1,0,2
Surya Software,3,1,1,0,5
Tech Magic,0,0,1,0,1
Tecosim,0,0,1,0,1
Thought Clan,0,0,1,0,1
Empower Retirement,0,1,1,0,2
FIS Global,0,0,1,0,1
Axis Cades,0,0,1,0,1
Aptus Data Labs,0,0,1,0,1
Qualitech Group,0,0,1,0,1
Juniper Networks,0,0,1,0,1
Mphasis,0,4,1,0,5
Thinkn Solutions,0,0,1,0,1
Oracle,0,2,1,0,3
Sony,0,0,1,0,1
Pramata Software,0,0,1,0,1
ADDRESS ADVISORS,0,0,1,0,1
Schindler,0,0,1,0,1
Prodapt,55,0,1,0,56
Wissen Infotech,0,0,1,0,1
Trellisoft,0,0,1,0,1
Yokogawa,0,0,1,0,1
Persistent,0,0,1,0,1
Mindtree,11,35,0,0,46
LTI,0,18,0,0,18
Legato Technologies,0,14,0,0,14
